sensor_id,location_id,parameter_name,parameter_id,parameter_units,last_value,last_datetime,expected_interval,observed_interval,coverage_datetime_from,coverage_datetime_to
14744851,6135426,pm25,2,µg/m³,41.1,2026-09-15T17:00:00Z,01:00:00,2158:00:00,2025-11-28T06:00:00Z,2026-09-15T17:00:00Z
14673708,6135427,pm25,2,µg/m³,38.9,2026-09-15T17:00:00Z,01:00:00,1816:00:00,2025-11-18T22:00:00Z,2026-09-15T17:00:00Z
14673709,6135428,pm25,2,µg/m³,52.5,2025-11-25T01:00:00Z,01:00:00,46:00:00,2025-11-18T23:00:00Z,2025-11-25T01:00:00Z
14681897,6135429,pm25,2,µg/m³,62.1,2026-09-15T20:00:00Z,01:00:00,836:00:00,2025-11-20T00:00:00Z,2026-09-15T20:00:00Z
14680874,6135430,pm25,2,µg/m³,51.9,2026-09-15T17:00:00Z,01:00:00,1482:00:00,2025-11-19T19:00:00Z,2026-09-15T17:00:00Z
14686621,6135431,pm25,2,µg/m³,40.3,2026-09-15T21:00:00Z,01:00:00,2231:00:00,2025-11-20T12:00:00Z,2026-09-15T21:00:00Z
14782773,6135432,pm25,2,µg/m³,50.3,2026-09-15T21:00:00Z,01:00:00,1614:00:00,2025-12-02T22:00:00Z,2026-09-15T21:00:00Z
14686622,6135434,pm25,2,µg/m³,13.1,2026-06-29T03:00:00Z,01:00:00,1078:00:00,2025-11-20T12:00:00Z,2026-06-29T03:00:00Z
14696251,6135438,pm25,2,µg/m³,41.3,2026-09-15T21:00:00Z,01:00:00,1645:00:00,2025-11-21T20:00:00Z,2026-09-15T21:00:00Z
14780985,6135439,pm25,2,µg/m³,48.0,2026-05-06T07:00:00Z,01:00:00,1269:00:00,2025-12-02T12:00:00Z,2026-05-06T07:00:00Z
